"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1,AE2","2","Antenna_Shield","","","","","~"
"BT1","1","COIN_Cell","","","","",""
"C1,C6,C10,C37","4","4.7uF","","","","","~"
"C2,C3,C4,C5,C7,C11,C12,C16,C38,C41","10","0.1uF","","","","","~"
"C8,C20,C39,C48","4","10uF","","","","","~"
"C9,C36","2","150uF","","","","","~"
"C13,C18,C19","3","68pF","","","","","~"
"C14","1","0.47uF","","","","","~"
"C15","1","47nF","","","","","~"
"C17","1","2.7pF","","","","","~"
"C21","1","15pF","","","","","~"
"C22","1","5.6pF","","","","","~"
"C23,C27","2","10pF","","","","","~"
"C24","1","3.6pF","","","","","~"
"C25,C35","2","1nF","","","","","~"
"C26,C31","2","6.8pF","","","","","~"
"C28,C29","2","8.2pF","","","","","~"
"C30","1","4.3pF","","","","","~"
"C32,C33,C34","3","33pF","","","","","~"
"C40,C43","2","1uF","","","","","~"
"C42","1","47pF","","","","","~"
"C47","1","100uF","","","","","~"
"CR1,CR2","2","SD1206S040S1R0","","","","",""
"CR3","1","CUS10S30,H3F","","","","",""
"D1","1","PESD0402-140","","","","","https://www.littelfuse.com/~/media/electronics/product_specifications/polymer_esd_suppressors/littelfuse_polymer_esd_suppressor_pesd0402_140_product_specification.pdf.pdf"
"D2","1","SP0503BAHTG","","","","",""
"D3","1","AQ3530-01FTG","","","","","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_aq3530-01ftg_datasheet.pdf.pdf"
"D4","1","RED","","","","","~"
"D5","1","YELLOW","","","","","~"
"D6","1","Green","","","","","~"
"D7","1","GREEN","","","","","~"
"FB1","1","2.66R","","","","","~"
"FL1","1","B39162B4348P810","","","","","https://www.arrow.com/en/products/b39162b4348p810/qualcomm-rf360-a-qualcomm-tdk-joint-venture"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"IC1","1","CP2102N-A02-GQFN28","","","","","https://componentsearchengine.com/Datasheets/2/CP2102N-A02-GQFN28.pdf"
"IC2,IC3","2","TPS2553QDBVRQ1","","","","","http://www.ti.com/lit/gpn/tps2553-q1"
"IC4","1","BGS12WN6E6329XTSA1","","","","","https://www.mouser.ca/datasheet/2/196/Infineon_BGS12WN6_DataSheet_v02_05_EN-3360659.pdf"
"J1","1","Conn_01x06_Pin","","","","","~"
"J2","1","Conn_02x20_Counter_Clockwise","","","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~"
"J3","1","Conn_01x04","","","","","~"
"J7","1","105164-0001","","","","","https://www.molex.com/pdm_docs/sd/1051640001_sd.pdf"
"JP3","1","PWR","","Excluded from BOM","","","~"
"L1","1","600R","","","","","~"
"L2","1","15uH","","","","","~"
"L3","1","56nH","","","","","~"
"L4","1","12nH","","","","","~"
"L5","1","20nH","","","","","~"
"L6","1","0R","","","","","~"
"L7","1","18nH","","","","","~"
"L8","1","36nH","","","","","~"
"R1,R10,R15","3","10K","","","","","~"
"R2","1","22.1K","","","","","~"
"R3","1","47.5K","","","","","~"
"R4,R17,R18","3","1K","","","","","~"
"R5","1","330R","","","","","~"
"R6,R7,R8,R11,R12,R13","6","33R","","","","","~"
"R9","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","88.7K","","","","","~"
"R16","1","3.3K","","","","","~"
"R19,R20","2","100R","","","","","~"
"SB3","1","Open","","Excluded from BOM","","","~"
"SW1","1","SW_SPDT","","","","","~"
"U1","1","MAX-M10S-00B","","","","",""
"U2","1","STM32WLE5CCU6","","","","STM32WLE5:UFQFPN48_STM","https://www.st.com/resource/en/datasheet/stm32wle5c8.pdf"
"U6","1","ADP122AUJZ-3.3-R7","","","","","ADP122AUJZ-3.3-R7"
"Y3","1","32MHz","","","","STM32WLE5_Crystal_32MHz:STM32WLE5_Crystal_32MHz_ECS320837CKMTR3","https://www.digikey.ph/en/products/detail/ecs-inc/ECS-320-8-37-CKM-TR3/15203351?msockid=3bdc366bbe0663d83c1223c0bf3662a6"
